epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1629,2.00536,4.87564,1.63976,0.34015,0.46939,0.28039,0.10566,2.14577,3.16642,1.80881,0.00064,0.00064,0.00064
2,25.3748,1.86658,1.83309,1.56957,0.3115,0.18777,0.14461,0.04766,2.60292,6.8676,2.30753,0.00128713,0.00128713,0.00128713
3,36.7911,1.97141,1.73179,1.62755,0.00254,0.04762,0.00058,0.00015,4.1765,108.381,5.25638,0.00192119,0.00192119,0.00192119
4,48.0572,1.93911,1.70497,1.63097,0.41517,0.29932,0.25507,0.0677,2.47847,2.93297,2.20073,0.0019406,0.0019406,0.0019406
5,58.2255,1.97575,1.65512,1.66831,0.00098,0.15646,0.0005,0.00017,4.26199,331.86,27.32,0.0019208,0.0019208,0.0019208
6,69.1912,1.80531,1.6256,1.56741,0.31428,0.25255,0.21649,0.07932,2.50686,2.54427,2.32572,0.001901,0.001901,0.001901
7,80.4584,1.91214,1.68404,1.61611,0.44384,0.36735,0.33379,0.13556,2.20951,2.7657,1.99737,0.0018812,0.0018812,0.0018812
8,91.7363,1.90963,1.56553,1.6426,0.42954,0.45578,0.39089,0.1686,2.14895,2.43705,1.87118,0.0018614,0.0018614,0.0018614
9,103.02,1.75605,1.40223,1.52041,0.45083,0.33508,0.33279,0.14929,2.42639,2.26016,2.05791,0.0018416,0.0018416,0.0018416
10,114.289,1.74832,1.29769,1.53139,0.68111,0.69744,0.66268,0.27464,1.93434,1.56675,1.7438,0.0018218,0.0018218,0.0018218
11,125.432,1.76183,1.32645,1.52442,0.76421,0.63946,0.73739,0.34572,1.80277,1.42409,1.61514,0.001802,0.001802,0.001802
12,136.229,1.72574,1.27312,1.47856,0.5927,0.70284,0.64332,0.26895,1.93728,1.46462,1.67156,0.0017822,0.0017822,0.0017822
13,147.48,1.73096,1.24741,1.50552,0.57251,0.68707,0.67061,0.29866,1.79979,1.51779,1.63495,0.0017624,0.0017624,0.0017624
14,158.69,1.70828,1.18304,1.45963,0.74317,0.7483,0.77138,0.39125,1.75323,1.22277,1.59639,0.0017426,0.0017426,0.0017426
15,169.799,1.73127,1.22341,1.51362,0.7836,0.71437,0.81409,0.37508,1.85554,1.27263,1.59753,0.0017228,0.0017228,0.0017228
16,180.883,1.70962,1.21595,1.48459,0.66775,0.75196,0.70125,0.34411,1.72179,1.24186,1.52503,0.001703,0.001703,0.001703
17,192.25,1.66102,1.21417,1.49714,0.71612,0.75509,0.78287,0.35457,1.78867,1.23558,1.60764,0.0016832,0.0016832,0.0016832
18,203.038,1.62591,1.13534,1.42964,0.63331,0.63445,0.62703,0.27028,1.89748,1.41571,1.67206,0.0016634,0.0016634,0.0016634
19,213.838,1.66469,1.16795,1.45328,0.83214,0.77565,0.86873,0.4243,1.75723,1.09489,1.56533,0.0016436,0.0016436,0.0016436
20,224.864,1.63643,1.15401,1.46731,0.70608,0.75173,0.73089,0.31351,1.88353,1.26748,1.62709,0.0016238,0.0016238,0.0016238
21,235.98,1.6913,1.13906,1.45946,0.65442,0.65701,0.63956,0.27435,1.93621,1.40661,1.71158,0.001604,0.001604,0.001604
22,247.196,1.60662,1.10491,1.41986,0.727,0.70651,0.72781,0.33456,1.89418,1.34618,1.62805,0.0015842,0.0015842,0.0015842
23,258.429,1.5531,1.07487,1.38707,0.80144,0.63946,0.78606,0.38861,1.81187,1.24088,1.57226,0.0015644,0.0015644,0.0015644
24,269.463,1.58664,1.07269,1.41122,0.83582,0.7551,0.83675,0.40239,1.80341,1.14226,1.54898,0.0015446,0.0015446,0.0015446
25,279.944,1.52649,1.06593,1.39077,0.82682,0.68204,0.79304,0.40911,1.64909,1.24894,1.49936,0.0015248,0.0015248,0.0015248
26,291.09,1.54471,1.06901,1.39814,0.76969,0.70068,0.79003,0.36941,1.82025,1.29079,1.56818,0.001505,0.001505,0.001505
27,302.183,1.51815,1.06771,1.37315,0.84912,0.80399,0.8745,0.45009,1.65236,1.05073,1.51046,0.0014852,0.0014852,0.0014852
28,313.242,1.54001,1.071,1.38607,0.76012,0.77551,0.80478,0.40315,1.70942,1.14482,1.57057,0.0014654,0.0014654,0.0014654
29,324.285,1.47673,1.0249,1.34249,0.86771,0.76871,0.88019,0.45581,1.65431,1.07254,1.52586,0.0014456,0.0014456,0.0014456
30,335.527,1.56099,1.00053,1.36039,0.83803,0.72789,0.83244,0.41346,1.72048,1.19023,1.55501,0.0014258,0.0014258,0.0014258
31,345.996,1.45293,0.99592,1.32729,0.82013,0.82313,0.87695,0.44983,1.64312,1.01679,1.51019,0.001406,0.001406,0.001406
32,357.071,1.49035,0.97978,1.35207,0.84844,0.82993,0.87262,0.46567,1.61554,0.99418,1.47,0.0013862,0.0013862,0.0013862
33,368.233,1.43592,0.97594,1.33755,0.78942,0.82313,0.8298,0.40703,1.76041,1.08545,1.57356,0.0013664,0.0013664,0.0013664
34,379.347,1.47028,1.02103,1.33513,0.82892,0.84354,0.89364,0.43062,1.71197,1.01519,1.50122,0.0013466,0.0013466,0.0013466
35,390.415,1.44917,0.95922,1.30665,0.90369,0.82977,0.9092,0.44806,1.6673,0.95266,1.48822,0.0013268,0.0013268,0.0013268
36,401.716,1.46315,0.90326,1.31639,0.82341,0.82472,0.86174,0.43409,1.66066,1.02405,1.47241,0.001307,0.001307,0.001307
37,412.802,1.43185,0.94096,1.33012,0.82276,0.82106,0.85316,0.44369,1.64053,1.00512,1.51837,0.0012872,0.0012872,0.0012872
38,423.307,1.46507,0.97469,1.35699,0.84043,0.86395,0.8803,0.46399,1.61442,0.99516,1.46001,0.0012674,0.0012674,0.0012674
39,434.358,1.40814,0.93355,1.30809,0.84593,0.78231,0.86669,0.42781,1.75361,0.986,1.5983,0.0012476,0.0012476,0.0012476
40,445.47,1.4597,0.93586,1.31984,0.77352,0.76672,0.74759,0.3755,1.80724,1.07939,1.58637,0.0012278,0.0012278,0.0012278
41,456.623,1.43598,0.90882,1.34047,0.87804,0.83257,0.8967,0.42608,1.71565,0.96993,1.52929,0.001208,0.001208,0.001208
42,467.802,1.4212,0.9455,1.30748,0.79725,0.84354,0.83864,0.42871,1.7411,0.99608,1.50633,0.0011882,0.0011882,0.0011882
43,479.071,1.46623,0.93339,1.3284,0.89228,0.78892,0.89657,0.44823,1.58985,0.99006,1.44836,0.0011684,0.0011684,0.0011684
44,489.791,1.42607,0.88847,1.32494,0.81178,0.87075,0.89901,0.47793,1.59216,0.94724,1.44454,0.0011486,0.0011486,0.0011486
45,500.885,1.4531,0.95073,1.33218,0.81712,0.7415,0.82403,0.42211,1.66557,1.11616,1.48314,0.0011288,0.0011288,0.0011288
46,512.069,1.39942,0.91385,1.32258,0.78879,0.84354,0.85692,0.47187,1.58612,1.0088,1.46169,0.001109,0.001109,0.001109
47,523.228,1.39715,0.88239,1.27751,0.83033,0.86395,0.91678,0.48658,1.57186,0.91698,1.4216,0.0010892,0.0010892,0.0010892
48,534.478,1.3598,0.90184,1.29837,0.83438,0.71971,0.84516,0.45236,1.6233,1.03725,1.48274,0.0010694,0.0010694,0.0010694
49,545.54,1.33201,0.8519,1.258,0.82477,0.83253,0.87344,0.48817,1.56909,0.89074,1.45428,0.0010496,0.0010496,0.0010496
50,556.238,1.33303,0.83647,1.2744,0.77071,0.84354,0.86208,0.46921,1.5878,0.97449,1.48431,0.0010298,0.0010298,0.0010298
